bin	Depth zymo_fecal	Input_file_busco	Dataset_busco	Complete_busco	Single_busco	Duplicated_busco	Fragmented_busco	Missing_busco	n_markers_busco	Translation table_busco	Scores_archaea_odb12_busco	Scores_bacteria_odb12_busco	Scores_eukaryota_odb12_busco	Scaffold N50_busco	Contigs N50_busco	Percent gaps_busco	Number of scaffolds_busco	Internal stop codon percent_busco	Name_checkm2	Completeness_checkm2	Contamination_checkm2	Completeness_Model_Used_checkm2	Translation_Table_Used_checkm2	Coding_Density_checkm2	Genome_Size_checkm2	Total_Coding_Sequences_checkm2	Name	Assembly_quast	# contigs (>= 0 bp)_quast	# contigs (>= 1000 bp)_quast	# contigs (>= 5000 bp)_quast	# contigs (>= 10000 bp)_quast	# contigs (>= 25000 bp)_quast	# contigs (>= 50000 bp)_quast	Total length (>= 0 bp)_quast	Total length (>= 1000 bp)_quast	Total length (>= 5000 bp)_quast	Total length (>= 10000 bp)_quast	Total length (>= 25000 bp)_quast	Total length (>= 50000 bp)_quast	# contigs_quast	Largest contig_quast	Total length_quast	GC (%)_quast	N50_quast	N75_quast	L50_quast	L75_quast	# N's per 100 kbp_quast	# predicted rRNA genes_quast	user_genome_gtdbtk	classification_gtdbtk	closest_genome_reference_gtdbtk	closest_genome_reference_radius_gtdbtk	closest_genome_taxonomy_gtdbtk	closest_genome_ani_gtdbtk	closest_genome_af_gtdbtk	closest_placement_reference_gtdbtk	closest_placement_radius_gtdbtk	closest_placement_taxonomy_gtdbtk	closest_placement_ani_gtdbtk	closest_placement_af_gtdbtk	pplacer_taxonomy_gtdbtk	classification_method_gtdbtk	note_gtdbtk	other_related_references(genome_id,species_name,radius,ANI,AF)_gtdbtk	msa_percent_gtdbtk	translation_table_gtdbtk	red_value_gtdbtk	warnings_gtdbtk
METAMDBG-CONCOCT-zymo_fecal_95.fa	15.2267	METAMDBG-CONCOCT-zymo_fecal_95.fa	eukaryota_odb12	98.3	0.0	98.3	1.7	0.0	116.0	C:21.0%[S:0.5%,D:20.5%],F:3.1%,M:75.9%,n:195	C:98.3%[S:0.0%,D:98.3%],F:1.7%,M:0.0%,n:116	C:2.3%[S:0.0%,D:2.3%],F:0.8%,M:96.9%,n:129,E:66.7%	382147	382147.0	0.000%	127		11.0	METAMDBG-CONCOCT-zymo_fecal_95.fa	95.27	103.08	Neural Network (Specific Model)	11	0.897	17436371	14996	METAMDBG-CONCOCT-zymo_fecal_95	METAMDBG-CONCOCT-zymo_fecal_95.fa	127	127	120	115	92	59	17436371	17436371	17410976	17373448	17045531	15788959	127	1610300	17436371	45.28	382147	150873	11	28	0.0	58 + 0 part	METAMDBG-CONCOCT-zymo_fecal_95.fa																			
METAMDBG-CONCOCT-zymo_fecal_96.fa	2.61184	METAMDBG-CONCOCT-zymo_fecal_96.fa	eukaryota_odb12	86.2	32.8	53.4	4.3	9.5	116.0	C:19.5%[S:9.7%,D:9.7%],F:4.1%,M:76.4%,n:195	C:86.2%[S:32.8%,D:53.4%],F:4.3%,M:9.5%,n:116	C:1.6%[S:0.0%,D:1.6%],F:1.6%,M:96.9%,n:129	25707	25707.0	0.000%	281		11.0	METAMDBG-CONCOCT-zymo_fecal_96.fa	94.87	58.11	Gradient Boost (General Model)	11	0.878	5811385	5986	METAMDBG-CONCOCT-zymo_fecal_96	METAMDBG-CONCOCT-zymo_fecal_96.fa	281	281	274	220	72	17	5811385	5811385	5782487	5345765	2972735	1159920	281	131819	5811385	48.76	25707	15774	70	143	0.0	5 + 0 part	METAMDBG-CONCOCT-zymo_fecal_96.fa																			
METAMDBG-CONCOCT-zymo_fecal_97.fa	2.145325	METAMDBG-CONCOCT-zymo_fecal_97.fa	eukaryota_odb12	14.7	14.7	0.0	1.7	83.6	116.0	C:3.6%[S:3.6%,D:0.0%],F:2.6%,M:93.8%,n:195	C:14.7%[S:14.7%,D:0.0%],F:1.7%,M:83.6%,n:116	C:1.6%[S:0.8%,D:0.8%],F:0.0%,M:98.4%,n:129,E:50.0%	15319	15319.0	0.000%	54		11.0	METAMDBG-CONCOCT-zymo_fecal_97.fa	25.13	1.96	Neural Network (Specific Model)	11	0.877	826098	908	METAMDBG-CONCOCT-zymo_fecal_97	METAMDBG-CONCOCT-zymo_fecal_97.fa	54	54	50	41	6	1	826098	826098	813870	734278	245549	79013	54	79013	826098	55.73	15319	11414	15	31	0.0	0 + 0 part	METAMDBG-CONCOCT-zymo_fecal_97.fa																			
METAMDBG-CONCOCT-zymo_fecal_98.fa	2.305045	METAMDBG-CONCOCT-zymo_fecal_98.fa	eukaryota_odb12	29.3	26.7	2.6	6.0	64.7	116.0	C:7.2%[S:6.7%,D:0.5%],F:2.1%,M:90.8%,n:195	C:29.3%[S:26.7%,D:2.6%],F:6.0%,M:64.7%,n:116	C:1.6%[S:1.6%,D:0.0%],F:0.0%,M:98.4%,n:129,E:100.0%	19398	19398.0	0.000%	80		11.0	METAMDBG-CONCOCT-zymo_fecal_98.fa	40.3	3.29	Gradient Boost (General Model)	11	0.89	1257489	1296	METAMDBG-CONCOCT-zymo_fecal_98	METAMDBG-CONCOCT-zymo_fecal_98.fa	80	80	78	51	10	1	1257489	1257489	1250591	1019647	347957	55576	80	55576	1257489	38.11	19398	11001	23	44	0.0	3 + 0 part	METAMDBG-CONCOCT-zymo_fecal_98.fa																			
METAMDBG-CONCOCT-zymo_fecal_99.fa	32.6432	METAMDBG-CONCOCT-zymo_fecal_99.fa	lachnospiraceae_odb12	98.2	96.2	2.0	0.7	1.1	444.0	C:20.0%[S:19.0%,D:1.0%],F:3.1%,M:76.9%,n:195	C:97.4%[S:94.8%,D:2.6%],F:0.9%,M:1.7%,n:116	C:2.3%[S:2.3%,D:0.0%],F:1.6%,M:96.1%,n:129,E:33.3%	2238216	2238216.0	0.000%	3		11.0	METAMDBG-CONCOCT-zymo_fecal_99.fa	99.93	4.73	Neural Network (Specific Model)	11	0.892	3934059	3825	METAMDBG-CONCOCT-zymo_fecal_99	METAMDBG-CONCOCT-zymo_fecal_99.fa	3	3	3	3	3	3	3934059	3934059	3934059	3934059	3934059	3934059	3	2238216	3934059	44.17	2238216	858400	1	2	0.0	8 + 0 part	METAMDBG-CONCOCT-zymo_fecal_99.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915	GCA_000432915.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915	98.9	0.91							ani_screen	classification based on ANI only	GCF_018917935.1, s__CAG-194 sp018917935, 95.0, 90.94, 0.605; GCA_002441865.1, s__CAG-194 sp002441865, 95.0, 90.36, 0.593				
METAMDBG-CONCOCTRefined-zymo_fecal.109_sub.fa	2.64363	METAMDBG-CONCOCTRefined-zymo_fecal.109_sub.fa	alistipes_odb12	69.8	61.5	8.3	2.1	28.0	977.0	11	C:16.4%[S:14.9%,D:1.5%],F:3.1%,M:80.5%,n:195	C:76.7%[S:71.6%,D:5.2%],F:5.2%,M:18.1%,n:116	C:3.1%[S:3.1%,D:0.0%],F:0.0%,M:96.9%,n:129,E:50.0%	29972.0	29972	0.000%	131.0		METAMDBG-CONCOCTRefined-zymo_fecal.109_sub.fa	79.65	12.2	Neural Network (Specific Model)	11	0.85	3003088	2676	METAMDBG-CONCOCTRefined-zymo_fecal.109_sub	METAMDBG-CONCOCTRefined-zymo_fecal.109_sub.fa	131	131	129	99	37	11	3003088	3003088	2995565	2742323	1750512	818401	131	137173	3003088	57.06	29972	16858	29	63	0.0	5 + 0 part	METAMDBG-CONCOCTRefined-zymo_fecal.109_sub.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__											d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		64.23	11.0	0.99339	Genome has more than 10.8% of markers with multiple hits
METAMDBG-CONCOCTRefined-zymo_fecal.111_sub.fa	2.09704	METAMDBG-CONCOCTRefined-zymo_fecal.111_sub.fa	eukaryota_odb12	46.6	46.6	0.0	2.6	50.9	116.0	11	C:6.7%[S:6.2%,D:0.5%],F:1.0%,M:92.3%,n:195	C:46.6%[S:46.6%,D:0.0%],F:2.6%,M:50.9%,n:116	C:0.8%[S:0.8%,D:0.0%],F:0.0%,M:99.2%,n:129,E:100.0%	25630.0	25630	0.000%	39.0		METAMDBG-CONCOCTRefined-zymo_fecal.111_sub.fa	34.17	0.02	Neural Network (Specific Model)	11	0.863	797495	778	METAMDBG-CONCOCTRefined-zymo_fecal.111_sub	METAMDBG-CONCOCTRefined-zymo_fecal.111_sub.fa	39	39	39	31	11	2	797495	797495	797495	729153	419722	107304	39	53878	797495	59.84	25630	15006	11	21	0.0	2 + 0 part	METAMDBG-CONCOCTRefined-zymo_fecal.111_sub.fa																			
METAMDBG-CONCOCTRefined-zymo_fecal.112_sub.fa	16.022	METAMDBG-CONCOCTRefined-zymo_fecal.112_sub.fa	bacteroides_odb12	99.8	39.0	60.8	0.0	0.2	1173.0	11	C:22.6%[S:9.2%,D:13.3%],F:2.1%,M:75.4%,n:195	C:99.1%[S:51.7%,D:47.4%],F:0.9%,M:0.0%,n:116	C:3.1%[S:1.6%,D:1.6%],F:0.0%,M:96.9%,n:129,E:50.0%	357711.0	357711	0.000%	68.0		METAMDBG-CONCOCTRefined-zymo_fecal.112_sub.fa	93.72	69.49	Neural Network (Specific Model)	11	0.907	12241567	9400	METAMDBG-CONCOCTRefined-zymo_fecal.112_sub	METAMDBG-CONCOCTRefined-zymo_fecal.112_sub.fa	68	68	67	63	52	46	12241567	12241567	12239058	12208494	12035462	11807167	68	994027	12241567	42.39	357711	192663	10	21	0.0	18 + 1 part	METAMDBG-CONCOCTRefined-zymo_fecal.112_sub.fa																			
METAMDBG-CONCOCTRefined-zymo_fecal.165.fa	5.52465	METAMDBG-CONCOCTRefined-zymo_fecal.165.fa	eubacteriales_odb12	85.0	82.9	2.1	1.2	13.8	240.0	11	C:14.4%[S:14.4%,D:0.0%],F:2.6%,M:83.1%,n:195	C:82.8%[S:81.0%,D:1.7%],F:2.6%,M:14.7%,n:116	C:1.6%[S:1.6%,D:0.0%],F:1.6%,M:96.9%,n:129,E:100.0%	138038.0	138038	0.000%	31.0		METAMDBG-CONCOCTRefined-zymo_fecal.165.fa	87.92	1.01	Gradient Boost (General Model)	11	0.867	2012582	1875	METAMDBG-CONCOCTRefined-zymo_fecal.165	METAMDBG-CONCOCTRefined-zymo_fecal.165.fa	31	31	28	24	18	15	2012582	2012582	2002330	1972960	1878273	1754945	31	263700	2012582	59.32	138038	84575	6	11	0.0	9 + 0 part	METAMDBG-CONCOCTRefined-zymo_fecal.165.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas coprocola	GCF_018408575.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas coprocola	98.08	0.8							ani_screen	classification based on ANI only					
METAMDBG-CONCOCTRefined-zymo_fecal.167_sub.fa	6.784610000000001	METAMDBG-CONCOCTRefined-zymo_fecal.167_sub.fa	alistipes_odb12	95.2	94.0	1.2	0.4	4.4	977.0	11	C:18.5%[S:17.4%,D:1.0%],F:2.6%,M:79.0%,n:195	C:89.7%[S:88.8%,D:0.9%],F:1.7%,M:8.6%,n:116	C:2.3%[S:2.3%,D:0.0%],F:0.0%,M:97.7%,n:129,E:66.7%	178496.0	178496	0.000%	40.0		METAMDBG-CONCOCTRefined-zymo_fecal.167_sub.fa	94.4	2.4	Neural Network (Specific Model)	11	0.89	3359211	2823	METAMDBG-CONCOCTRefined-zymo_fecal.167_sub	METAMDBG-CONCOCTRefined-zymo_fecal.167_sub.fa	40	40	37	35	25	19	3359211	3359211	3346556	3329198	3168829	2937761	40	419377	3359211	57.69	178496	116232	8	13	0.0	6 + 0 part	METAMDBG-CONCOCTRefined-zymo_fecal.167_sub.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	GCF_025145285.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	97.44	0.803							ani_screen	classification based on ANI only	GCF_000265365.1, s__Alistipes finegoldii, 95.0, 84.82, 0.253; GCF_021204515.1, s__Alistipes sp021204515, 95.0, 84.12, 0.166; GCA_047233565.1, s__Alistipes sp047233565, 95.0, 95.08, 0.722; GCF_902388705.1, s__Alistipes sp902388705, 95.0, 84.63, 0.284				
METAMDBG-CONCOCTRefined-zymo_fecal.17.fa	12.8011	METAMDBG-CONCOCTRefined-zymo_fecal.17.fa	lachnospiraceae_odb12	98.6	88.7	9.9	0.0	1.4	444.0	11	C:21.0%[S:18.5%,D:2.6%],F:2.6%,M:76.4%,n:195	C:97.4%[S:89.7%,D:7.8%],F:1.7%,M:0.9%,n:116	C:2.3%[S:2.3%,D:0.0%],F:0.8%,M:96.9%,n:129,E:33.3%	1971429.0	1971429	0.000%	13.0		METAMDBG-CONCOCTRefined-zymo_fecal.17.fa	100.0	11.05	Neural Network (Specific Model)	11	0.89	3932436	3774	METAMDBG-CONCOCTRefined-zymo_fecal.17	METAMDBG-CONCOCTRefined-zymo_fecal.17.fa	13	13	12	11	9	7	3932436	3932436	3928429	3921497	3900641	3832725	13	1971429	3932436	43.05	1971429	387425	1	3	0.0	10 + 0 part	METAMDBG-CONCOCTRefined-zymo_fecal.17.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia faecis	GCF_045061065.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia faecis	98.44	0.824							ani_screen	classification based on ANI only	GCA_002474415.1, s__Roseburia sp002474415, 95.0, 91.39, 0.57				
METAMDBG-CONCOCTRefined-zymo_fecal.18.fa	10.6767	METAMDBG-CONCOCTRefined-zymo_fecal.18.fa	lachnospiraceae_odb12	98.6	97.3	1.4	0.0	1.4	444.0	11	C:18.5%[S:17.4%,D:1.0%],F:4.1%,M:77.4%,n:195	C:95.7%[S:92.2%,D:3.4%],F:0.9%,M:3.4%,n:116	C:1.6%[S:1.6%,D:0.0%],F:0.8%,M:97.7%,n:129,E:50.0%	483331.0	483331	0.000%	13.0		METAMDBG-CONCOCTRefined-zymo_fecal.18.fa	100.0	1.51	Neural Network (Specific Model)	11	0.888	3472646	3165	METAMDBG-CONCOCTRefined-zymo_fecal.18	METAMDBG-CONCOCTRefined-zymo_fecal.18.fa	13	13	12	11	9	7	3472646	3472646	3468106	3462263	3426753	3348956	13	1050517	3472646	48.94	483331	435634	3	4	0.0	10 + 0 part	METAMDBG-CONCOCTRefined-zymo_fecal.18.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	GCF_000225345.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	98.12	0.795							ani_screen	classification based on ANI only	GCA_902781225.1, s__Roseburia sp902781225, 95.0, 95.05, 0.774				
METAMDBG-CONCOCTRefined-zymo_fecal.180.fa	2.491455	METAMDBG-CONCOCTRefined-zymo_fecal.180.fa	clostridiaceae_odb12	8.5	8.5	0.0	1.0	90.5	389.0	11	C:0.5%[S:0.5%,D:0.0%],F:1.5%,M:97.9%,n:195	C:21.6%[S:21.6%,D:0.0%],F:1.7%,M:76.7%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	134849.0	134849	0.000%	18.0		METAMDBG-CONCOCTRefined-zymo_fecal.180.fa	26.0	1.57	Neural Network (Specific Model)	11	0.843	694712	778	METAMDBG-CONCOCTRefined-zymo_fecal.180	METAMDBG-CONCOCTRefined-zymo_fecal.180.fa	18	18	18	15	5	3	694712	694712	694712	670708	510108	444737	18	212916	694712	34.15	134849	22454	2	6	0.0	0 + 0 part	METAMDBG-CONCOCTRefined-zymo_fecal.180.fa																			
METAMDBG-CONCOCTRefined-zymo_fecal.181.fa	3.3344	METAMDBG-CONCOCTRefined-zymo_fecal.181.fa	lachnospiraceae_odb12	67.6	66.7	0.9	3.8	28.6	444.0	11	C:13.8%[S:13.3%,D:0.5%],F:4.1%,M:82.1%,n:195	C:73.3%[S:71.6%,D:1.7%],F:6.0%,M:20.7%,n:116	C:1.6%[S:1.6%,D:0.0%],F:0.8%,M:97.7%,n:129,E:100.0%	38078.0	38078	0.000%	92.0		METAMDBG-CONCOCTRefined-zymo_fecal.181.fa	79.32	1.33	Gradient Boost (General Model)	11	0.877	2261599	2230	METAMDBG-CONCOCTRefined-zymo_fecal.181	METAMDBG-CONCOCTRefined-zymo_fecal.181.fa	92	92	87	71	30	9	2261599	2261599	2244420	2110491	1478116	706335	92	128865	2261599	52.92	38078	18583	19	41	0.0	10 + 1 part	METAMDBG-CONCOCTRefined-zymo_fecal.181.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__Alitiscatomonas aceti	GCF_025567195.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__Alitiscatomonas aceti	98.29	0.858							ani_screen	classification based on ANI only	GCA_905215775.1, s__Alitiscatomonas sp905215775, 95.0, 91.34, 0.64				
METAMDBG-CONCOCTRefined-zymo_fecal.182.fa	6.74729	METAMDBG-CONCOCTRefined-zymo_fecal.182.fa	lachnospiraceae_odb12	97.3	95.9	1.4	0.5	2.3	444.0	11	C:20.0%[S:19.0%,D:1.0%],F:2.6%,M:77.4%,n:195	C:94.8%[S:90.5%,D:4.3%],F:0.9%,M:4.3%,n:116	C:0.8%[S:0.8%,D:0.0%],F:0.8%,M:98.4%,n:129	569998.0	569998	0.000%	23.0		METAMDBG-CONCOCTRefined-zymo_fecal.182.fa	88.94	1.61	Neural Network (Specific Model)	11	0.857	3584380	3047	METAMDBG-CONCOCTRefined-zymo_fecal.182	METAMDBG-CONCOCTRefined-zymo_fecal.182.fa	23	23	21	15	12	9	3584380	3584380	3579109	3535592	3481793	3374712	23	733257	3584380	47.45	569998	361181	3	5	0.0	14 + 0 part	METAMDBG-CONCOCTRefined-zymo_fecal.182.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Choladousia;s__Choladousia sp902363665	GCA_902363665.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Choladousia;s__Choladousia sp902363665	98.45	0.856							ani_screen	classification based on ANI only	GCA_029225065.1, s__Choladousia sp029225065, 95.0, 86.11, 0.294				
METAMDBG-CONCOCTRefined-zymo_fecal.22.fa	14.47182	METAMDBG-CONCOCTRefined-zymo_fecal.22.fa	lachnospiraceae_odb12	96.6	95.5	1.1	0.5	2.9	444.0	11	C:21.5%[S:21.5%,D:0.0%],F:2.6%,M:75.9%,n:195	C:98.3%[S:98.3%,D:0.0%],F:0.9%,M:0.9%,n:116	C:0.8%[S:0.8%,D:0.0%],F:0.8%,M:98.4%,n:129	3778254.0	3778254	0.000%	2.0		METAMDBG-CONCOCTRefined-zymo_fecal.22.fa	98.6	1.28	Gradient Boost (General Model)	11	0.886	3797293	3195	METAMDBG-CONCOCTRefined-zymo_fecal.22	METAMDBG-CONCOCTRefined-zymo_fecal.22.fa	2	2	2	2	1	1	3797293	3797293	3797293	3797293	3778254	3778254	2	3778254	3797293	41.04	3778254	3778254	1	1	0.0	12 + 0 part	METAMDBG-CONCOCTRefined-zymo_fecal.22.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anthropogastromicrobium;s__Anthropogastromicrobium aceti	GCF_025567095.1	95.11	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anthropogastromicrobium;s__Anthropogastromicrobium aceti	97.1	0.75							ani_screen	classification based on ANI only	GCA_958446555.1, s__Anthropogastromicrobium sp958446555, 95.0, 92.93, 0.262; GCA_052273485.1, s__Anthropogastromicrobium sp052273485, 95.0, 86.75, 0.22; GCA_934292725.1, s__Anthropogastromicrobium sp934292725, 95.0, 94.99, 0.717				
METAMDBG-CONCOCTRefined-zymo_fecal.30.fa	5.04087	METAMDBG-CONCOCTRefined-zymo_fecal.30.fa	eubacteriales_odb12	90.4	87.9	2.5	0.0	9.6	240.0	11	C:11.8%[S:11.3%,D:0.5%],F:3.6%,M:84.6%,n:195	C:92.2%[S:91.4%,D:0.9%],F:1.7%,M:6.0%,n:116	C:0.8%[S:0.8%,D:0.0%],F:2.3%,M:96.9%,n:129,E:100.0%	433725.0	433725	0.000%	35.0		METAMDBG-CONCOCTRefined-zymo_fecal.30.fa	94.81	3.82	Gradient Boost (General Model)	11	0.858	2657974	2454	METAMDBG-CONCOCTRefined-zymo_fecal.30	METAMDBG-CONCOCTRefined-zymo_fecal.30.fa	35	35	31	21	14	9	2657974	2657974	2641683	2551431	2448133	2243632	35	542426	2657974	57.28	433725	173792	3	6	0.0	6 + 0 part	METAMDBG-CONCOCTRefined-zymo_fecal.30.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas fastidiosa	GCF_018326305.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas fastidiosa	96.9	0.668							ani_screen	classification based on ANI only	GCA_900550615.1, s__Vescimonas sp900550615, 95.0, 86.66, 0.239; GCA_963655625.1, s__Vescimonas sp963655625, 95.0, 86.72, 0.283; GCA_902388735.1, s__Vescimonas sp902388735, 95.0, 85.31, 0.241; GCA_003539495.1, s__Vescimonas sp003539495, 95.0, 86.99, 0.276; GCA_945868085.1, s__Vescimonas sp945868085, 95.0, 84.98, 0.227; GCA_900313295.1, s__Vescimonas sp900313295, 95.0, 87.27, 0.191; GCA_963650985.1, s__Vescimonas sp963650985, 95.0, 87.29, 0.347; GCA_963634265.1, s__Vescimonas sp963634265, 95.0, 87.34, 0.318; GCA_934566025.1, s__Vescimonas sp934566025, 95.0, 88.97, 0.349				
METAMDBG-CONCOCTRefined-zymo_fecal.34_sub.fa	26.7066	METAMDBG-CONCOCTRefined-zymo_fecal.34_sub.fa	lachnospiraceae_odb12	98.6	98.4	0.2	0.2	1.1	444.0	11	C:19.5%[S:19.5%,D:0.0%],F:3.1%,M:77.4%,n:195	C:97.4%[S:95.7%,D:1.7%],F:1.7%,M:0.9%,n:116	C:2.3%[S:2.3%,D:0.0%],F:1.6%,M:96.1%,n:129,E:66.7%	988806.0	988806	0.000%	4.0		METAMDBG-CONCOCTRefined-zymo_fecal.34_sub.fa	99.86	0.0	Neural Network (Specific Model)	11	0.875	3004045	2807	METAMDBG-CONCOCTRefined-zymo_fecal.34_sub	METAMDBG-CONCOCTRefined-zymo_fecal.34_sub.fa	4	4	4	4	4	3	3004045	3004045	3004045	3004045	3004045	2956505	4	1271501	3004045	41.59	988806	988806	2	2	0.0	10 + 0 part	METAMDBG-CONCOCTRefined-zymo_fecal.34_sub.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia rectalis	GCF_000020605.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia rectalis	97.29	0.72							ani_screen	classification based on ANI only	GCA_937935345.1, s__Roseburia sp900546625, 95.0, 93.93, 0.594; GCA_934365945.1, s__Roseburia sp934365945, 95.0, 92.18, 0.49; GCF_052118705.1, s__Roseburia sp900317585, 95.0, 95.05, 0.54				
METAMDBG-CONCOCTRefined-zymo_fecal.35.fa	2.409285	METAMDBG-CONCOCTRefined-zymo_fecal.35.fa	eukaryota_odb12	50.0	50.0	0.0	3.4	46.6	116.0	11	C:10.3%[S:9.7%,D:0.5%],F:1.5%,M:88.2%,n:195	C:50.0%[S:50.0%,D:0.0%],F:3.4%,M:46.6%,n:116	C:0.8%[S:0.8%,D:0.0%],F:0.8%,M:98.4%,n:129,E:100.0%	34898.0	34898	0.000%	42.0		METAMDBG-CONCOCTRefined-zymo_fecal.35.fa	49.84	0.4	Neural Network (Specific Model)	11	0.878	1095491	1048	METAMDBG-CONCOCTRefined-zymo_fecal.35	METAMDBG-CONCOCTRefined-zymo_fecal.35.fa	42	42	42	36	19	3	1095491	1095491	1095491	1040410	800430	224234	42	104914	1095491	54.2	34898	23009	11	20	0.0	2 + 1 part	METAMDBG-CONCOCTRefined-zymo_fecal.35.fa	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__Anaerotardibacter sp958409415	GCA_958409415.1	95.34	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__Anaerotardibacter sp958409415	95.45	0.806							ani_screen	classification based on ANI only	GCA_900538545.1, s__Anaerotardibacter sp900538545, 95.0, 95.29, 0.78; GCA_900542525.1, s__Anaerotardibacter sp900542525, 95.0, 89.87, 0.643; GCA_000435675.1, s__Anaerotardibacter sp000435675, 95.0, 94.5, 0.759; GCA_902464295.1, s__Anaerotardibacter sp902464295, 95.0, 92.62, 0.709				
METAMDBG-CONCOCTRefined-zymo_fecal.4.fa	20.5918	METAMDBG-CONCOCTRefined-zymo_fecal.4.fa	eubacteriales_odb12	94.2	93.3	0.8	0.4	5.4	240.0	11	C:19.0%[S:19.0%,D:0.0%],F:3.1%,M:77.9%,n:195	C:90.5%[S:90.5%,D:0.0%],F:0.9%,M:8.6%,n:116	C:0.8%[S:0.8%,D:0.0%],F:1.6%,M:97.7%,n:129,E:100.0%	692898.0	692898	0.000%	11.0		METAMDBG-CONCOCTRefined-zymo_fecal.4.fa	98.23	8.38	Gradient Boost (General Model)	11	0.882	4278722	4193	METAMDBG-CONCOCTRefined-zymo_fecal.4	METAMDBG-CONCOCTRefined-zymo_fecal.4.fa	11	11	11	10	9	7	4278722	4278722	4278722	4272674	4262268	4188877	11	938415	4278722	56.19	692898	555782	3	5	0.0	7 + 0 part	METAMDBG-CONCOCTRefined-zymo_fecal.4.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135	GCA_000432135.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135	98.13	0.845							ani_screen	classification based on ANI only	GCA_902796245.1, s__CAG-170 sp902796245, 95.0, 90.64, 0.57; GCA_900545925.1, s__CAG-170 sp900545925, 95.0, 91.31, 0.521; GCA_934655875.1, s__CAG-170 sp934655875, 95.0, 84.69, 0.213; GCA_900751035.1, s__CAG-170 sp900751035, 95.0, 91.91, 0.513; GCA_934670025.1, s__CAG-170 sp934670025, 95.0, 83.46, 0.161; GCA_934646185.1, s__CAG-170 sp934646185, 95.0, 90.6, 0.486; GCA_934613505.1, s__CAG-170 sp934613505, 95.0, 85.19, 0.252; GCA_934668295.1, s__CAG-170 sp934668295, 95.0, 90.68, 0.599; GCA_002404795.1, s__CAG-170 sp002404795, 95.0, 85.39, 0.245				
